"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019058","BP","GO:0019058","viral life cycle","15/138","317/18723",1.29345280954201e-08,3.74583933643367e-05,3.11109438926684e-05,"IFITM3/ISG15/CDC42/ITGB1/ITGA5/P4HB/AXL/MX1/PTX3/HSP90AB1/CTSB/PABPC1/VCP/GSN/DDX3X",15
"GO:0016032","BP","GO:0016032","viral process","16/138","415/18723",7.22047190423569e-08,0.000104552433173333,8.68356752693607e-05,"IFITM3/ISG15/CDC42/ITGB1/ITGA5/P4HB/AXL/MX1/PARP9/PTX3/HSP90AB1/CTSB/PABPC1/VCP/GSN/DDX3X",16
"GO:0030198","BP","GO:0030198","extracellular matrix organization","13/138","301/18723",3.62270225793257e-07,0.000224907125646736,0.000186795864387464,"ITGB1/MMP1/TNFRSF1A/POSTN/COL4A1/FBLN5/COL1A1/COL5A2/APP/PTX3/LAMB1/B4GALT1/COL4A6",13
"GO:0043062","BP","GO:0043062","extracellular structure organization","13/138","302/18723",3.76208513608998e-07,0.000224907125646736,0.000186795864387464,"ITGB1/MMP1/TNFRSF1A/POSTN/COL4A1/FBLN5/COL1A1/COL5A2/APP/PTX3/LAMB1/B4GALT1/COL4A6",13
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","13/138","304/18723",4.05534242649506e-07,0.000224907125646736,0.000186795864387464,"ITGB1/MMP1/TNFRSF1A/POSTN/COL4A1/FBLN5/COL1A1/COL5A2/APP/PTX3/LAMB1/B4GALT1/COL4A6",13
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","14/138","363/18723",4.9577323585454e-07,0.000224907125646736,0.000186795864387464,"PTEN/CDC42/ITGB1/ITGA5/CORO1C/POSTN/FBLN5/COL1A1/P4HB/AXL/FN1/CTNNB1/LIMCH1/LAMB1",14
"GO:0016049","BP","GO:0016049","cell growth","16/138","482/18723",5.43629102046668e-07,0.000224907125646736,0.000186795864387464,"PLXNA1/CDC42/ITGB1/PPP3CB/DCUN1D5/POSTN/FBLN5/FN1/SERPINE2/APP/CTNNB1/RACK1/HSP90AB1/EXTL3/DDX3X/FHL1",16
"GO:1903900","BP","GO:1903900","regulation of viral life cycle","9/138","148/18723",1.52170946526382e-06,0.000550858826425503,0.000457513964227346,"IFITM3/ISG15/P4HB/AXL/MX1/PTX3/PABPC1/GSN/DDX3X",9
"GO:0050792","BP","GO:0050792","regulation of viral process","9/138","164/18723",3.5575593948542e-06,0.00114474355638864,0.00095076294938501,"IFITM3/ISG15/P4HB/AXL/MX1/PTX3/PABPC1/GSN/DDX3X",9
"GO:0046685","BP","GO:0046685","response to arsenic-containing substance","5/138","33/18723",4.06632230382092e-06,0.00117760693918654,0.000978057522550611,"PTEN/SLC38A2/MKNK2/VCP/DDX3X",5
"GO:0009612","BP","GO:0009612","response to mechanical stimulus","10/138","216/18723",4.63862998406343e-06,0.00122122476671343,0.00101428416397942,"ATP1A1/TNFRSF1A/SLC38A2/POSTN/COL1A1/IGFBP2/SERPINE2/RAF1/CTNNB1/GSN",10
"GO:0046718","BP","GO:0046718","viral entry into host cell","8/138","144/18723",1.15177484048959e-05,0.0027796166150482,0.00230860132501641,"IFITM3/ITGB1/ITGA5/P4HB/AXL/PTX3/CTSB/GSN",8
"GO:0071243","BP","GO:0071243","cellular response to arsenic-containing substance","4/138","20/18723",1.24897702786591e-05,0.00278233651746129,0.0023108603309098,"SLC38A2/MKNK2/VCP/DDX3X",4
"GO:0034446","BP","GO:0034446","substrate adhesion-dependent cell spreading","7/138","108/18723",1.5222134831353e-05,0.00314275002431567,0.00261020056904671,"CDC42/CORO1C/POSTN/P4HB/AXL/FN1/LAMB1",7
"GO:0044409","BP","GO:0044409","entry into host","8/138","151/18723",1.62780560651709e-05,0.00314275002431567,0.00261020056904671,"IFITM3/ITGB1/ITGA5/P4HB/AXL/PTX3/CTSB/GSN",8
"GO:0035987","BP","GO:0035987","endodermal cell differentiation","5/138","45/18723",1.94987574002443e-05,0.00352927508944422,0.00293122767497094,"ITGA5/COL5A2/FN1/CTNNB1/LAMB1",5
"GO:0009895","BP","GO:0009895","negative regulation of catabolic process","11/138","320/18723",2.56201479725886e-05,0.0043194840047204,0.00358753305858756,"RBM10/LARP4B/CTSA/LRIG2/SF3B3/GIT1/TIMP2/SERPINE2/HSP90AB1/SYNCRIP/PABPC1",11
"GO:0032527","BP","GO:0032527","protein exit from endoplasmic reticulum","5/138","48/18723",2.68476215763008e-05,0.0043194840047204,0.00358753305858756,"SEL1L/HSP90B1/TM9SF4/UFD1/VCP",5
"GO:0007163","BP","GO:0007163","establishment or maintenance of cell polarity","9/138","218/18723",3.48854716573168e-05,0.00531728031155733,0.00441624945911184,"MAP4/CDC42/LMNA/ITGB1/CDC42BPB/ARF4/RACK1/HSP90AB1/GSN",9
"GO:0052126","BP","GO:0052126","movement in host environment","8/138","175/18723",4.69142143884939e-05,0.00660013259590972,0.00548171815268018,"IFITM3/ITGB1/ITGA5/P4HB/AXL/PTX3/CTSB/GSN",8
"GO:0001706","BP","GO:0001706","endoderm formation","5/138","54/18723",4.78600775255884e-05,0.00660013259590972,0.00548171815268018,"ITGA5/COL5A2/FN1/CTNNB1/LAMB1",5
"GO:0019079","BP","GO:0019079","viral genome replication","7/138","131/18723",5.29461245133529e-05,0.00681453250128626,0.00565978728025556,"IFITM3/ISG15/CDC42/MX1/PABPC1/VCP/DDX3X",7
"GO:0030970","BP","GO:0030970","retrograde protein transport, ER to cytosol","4/138","29/18723",5.81545529877845e-05,0.00681453250128626,0.00565978728025556,"SEL1L/HSP90B1/UFD1/VCP",4
"GO:1903513","BP","GO:1903513","endoplasmic reticulum to cytosol transport","4/138","29/18723",5.81545529877845e-05,0.00681453250128626,0.00565978728025556,"SEL1L/HSP90B1/UFD1/VCP",4
"GO:0044403","BP","GO:0044403","biological process involved in symbiotic interaction","10/138","290/18723",5.88271106809933e-05,0.00681453250128626,0.00565978728025556,"IFITM3/ITGB1/ITGA5/P4HB/AXL/FN1/PTX3/HSP90AB1/CTSB/GSN",10
"GO:0043254","BP","GO:0043254","regulation of protein-containing complex assembly","12/138","428/18723",7.92660986218335e-05,0.0088057975773762,0.00731362585937214,"ISG15/CDC42/MMP1/GIT1/THRA/BIN1/RAF1/RACK1/VCP/GSN/SPTAN1/DDX3X",12
"GO:0038063","BP","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","3/138","12/18723",8.20982508940461e-05,0.0088057975773762,0.00731362585937214,"COL4A1/COL1A1/COL4A6",3
"GO:0005788","CC","GO:0005788","endoplasmic reticulum lumen","15/140","313/19550",7.53006649283526e-09,1.31260891243472e-06,8.97542198600558e-07,"GANAB/HSP90B1/COL4A1/B2M/FBN1/COL1A1/P4HB/COL5A2/FN1/COL6A3/APP/LRPAP1/TXNDC5/LAMB1/COL4A6",15
"GO:0005925","CC","GO:0005925","focal adhesion","17/140","418/19550",8.30257067590999e-09,1.31260891243472e-06,8.97542198600558e-07,"LASP1/CDC42/ITGB1/ITGA5/HSP90B1/CORO1C/B2M/RPL4/GIT1/P4HB/TPM4/RPS11/CTNNB1/MME/PABPC1/GSN/FHL1",17
"GO:0030055","CC","GO:0030055","cell-substrate junction","17/140","425/19550",1.0614088240712e-08,1.31260891243472e-06,8.97542198600558e-07,"LASP1/CDC42/ITGB1/ITGA5/HSP90B1/CORO1C/B2M/RPL4/GIT1/P4HB/TPM4/RPS11/CTNNB1/MME/PABPC1/GSN/FHL1",17
"GO:0034774","CC","GO:0034774","secretory granule lumen","14/140","322/19550",8.22363349102098e-08,6.14782663434961e-06,4.20379122961628e-06,"CTSA/GNS/B2M/TIMP2/FN1/XRCC5/APP/PTX3/TXNDC5/HSP90AB1/VCP/GSN/SPTAN1/DDX3X",14
"GO:0060205","CC","GO:0060205","cytoplasmic vesicle lumen","14/140","325/19550",9.21945510735307e-08,6.14782663434961e-06,4.20379122961628e-06,"CTSA/GNS/B2M/TIMP2/FN1/XRCC5/APP/PTX3/TXNDC5/HSP90AB1/VCP/GSN/SPTAN1/DDX3X",14
